OTS Component Name(FDA) Dependency Name (needs to correct need only OTS components name here);Purpose(FDA) Intented Use;Description;Version(By FDA) Accepted Versions;Timestamp(FDA);Supplier (FDA) Manufacturer;License;Unique Identifier;DEPENDENCY RELATIONSHIP;Vulnerabilities
@babel/preset-env;;;^7.24.4;2024-06-04T23:29:25.741644;babel;MIT;@babel/preset-env-^7.24.4;@babel/plugin-transform-for-of,@babel/plugin-transform-nullish-coalescing-operator,@babel/plugin-transform-private-property-in-object,@babel/plugin-transform-block-scoping,semver,babel-plugin-polyfill-corejs2,@babel/plugin-syntax-unicode-sets-regex,@babel/plugin-transform-dynamic-import,@babel/plugin-bugfix-firefox-class-in-computed-class-key,@babel/plugin-syntax-logical-assignment-operators,@babel/plugin-transform-private-methods,@babel/plugin-transform-object-rest-spread,@babel/plugin-transform-spread,babel-plugin-polyfill-corejs3,@babel/plugin-transform-reserved-words,@babel/compat-data,@babel/plugin-transform-destructuring,@babel/plugin-transform-function-name,@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression,@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly,@babel/plugin-transform-shorthand-properties,@babel/preset-modules,@babel/plugin-transform-arrow-functions,@babel/plugin-proposal-private-property-in-object,@babel/plugin-transform-unicode-regex,@babel/plugin-transform-exponentiation-operator,@babel/plugin-transform-modules-commonjs,@babel/plugin-syntax-numeric-separator,@babel/plugin-transform-new-target,@babel/plugin-syntax-nullish-coalescing-operator,@babel/plugin-transform-modules-amd,@babel/helper-compilation-targets,@babel/plugin-transform-logical-assignment-operators,@babel/plugin-transform-class-properties,@babel/plugin-transform-json-strings,@babel/plugin-transform-modules-systemjs,@babel/plugin-syntax-import-assertions,@babel/plugin-syntax-class-properties,core-js-compat,@babel/plugin-transform-sticky-regex,@babel/plugin-transform-property-literals,@babel/plugin-syntax-top-level-await,@babel/plugin-transform-duplicate-keys,@babel/plugin-transform-literals,@babel/plugin-syntax-json-strings,@babel/plugin-syntax-import-attributes,@babel/plugin-transform-unicode-property-regex,@babel/plugin-syntax-class-static-block,@babel/plugin-transform-class-static-block,@babel/plugin-transform-block-scoped-functions,@babel/plugin-syntax-optional-catch-binding,@babel/plugin-transform-dotall-regex,@babel/plugin-transform-template-literals,@babel/plugin-transform-regenerator,@babel/helper-validator-option,@babel/plugin-syntax-export-namespace-from,@babel/plugin-transform-named-capturing-groups-regex,@babel/plugin-transform-member-expression-literals,@babel/plugin-syntax-private-property-in-object,@babel/plugin-transform-async-to-generator,@babel/plugin-transform-modules-umd,@babel/plugin-transform-async-generator-functions,@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining,@babel/plugin-transform-optional-chaining,@babel/plugin-syntax-object-rest-spread,@babel/plugin-transform-export-namespace-from,babel-plugin-polyfill-regenerator,@babel/plugin-syntax-import-meta,@babel/plugin-transform-typeof-symbol,@babel/plugin-transform-computed-properties,@babel/plugin-transform-numeric-separator,@babel/plugin-syntax-async-generators,@babel/helper-plugin-utils,@babel/plugin-transform-optional-catch-binding,@babel/plugin-transform-classes,@babel/plugin-transform-parameters,@babel/plugin-syntax-optional-chaining,@babel/plugin-syntax-dynamic-import,@babel/plugin-transform-unicode-escapes,@babel/plugin-transform-unicode-sets-regex,@babel/plugin-transform-object-super;
@emotion/react;;React is a JavaScript library for building user interfaces.;^11.11.1;2024-06-04T23:29:26.628129;emotion-js;MIT;@emotion/react-^11.11.1;loose-envify;
@emotion/styled;;;^11.11.0;2024-06-04T23:29:27.612509;emotion-js;MIT;@emotion/styled-^11.11.0;@emotion/is-prop-valid,@emotion/utils,@emotion/serialize,@emotion/babel-plugin,@emotion/use-insertion-effect-with-fallbacks,@babel/runtime;
@fontsource/roboto;;A web crawler for Nodejs.;^5.0.8;2024-06-04T23:29:28.782261;fontsource;Apache-2.0;@fontsource/roboto-^5.0.8;cheerio,request,async,utils-merge,underscore,log,solr,moment,tldjs;
@hookform/resolvers;;> Promise chain resolver # Quick start;^3.3.2;2024-06-04T23:29:29.333160;react-hook-form;MIT;@hookform/resolvers-^3.3.2;;
@mui/icons-material;;;^5.14.15;2024-06-04T23:29:29.966033;mui;MIT;@mui/icons-material-^5.14.15;@babel/runtime;
@mui/lab;;Test utility;^5.0.0-alpha.150;2024-06-04T23:29:30.881267;mui;MIT;@mui/lab-^5.0.0-alpha.150;bossy,diff,eslint,eslint-config-hapi,eslint-plugin-hapi,espree,find-rc,handlebars,hoek,json-stable-stringify,json-stringify-safe,mkdirp,seedrandom,source-map,source-map-support,supports-color,will-call;
@mui/material;;A lightweight implementation of Material Design Components - ES6;^5.14.15;2024-06-04T23:29:31.536781;mui;MIT;@mui/material-^5.14.15;@mui/core-downloads-tracker,csstype,prop-types,@types/react-transition-group,@mui/utils,@mui/types,react-transition-group,clsx,@mui/base,react-is,@mui/system,@babel/runtime;
@mui/x-charts;;;^6.18.3;2024-06-04T23:29:32.562542;mui;MIT;@mui/x-charts-^6.18.3;d3-shape,prop-types,d3-scale,@mui/base,@react-spring/web,@react-spring/rafz,clsx,d3-color,@babel/runtime;
@mui/x-data-grid;;Vue表格组件,支持搜索、排序、分页、固定列、调整列宽;^6.17.0;2024-06-04T23:29:33.184613;mui;MIT;@mui/x-data-grid-^6.17.0;core-js,debounce,fuse.js,numeral,vue;
